Date,Open,High,Low,Close,Volume
24-10-2019 16:00,61.13,61.2,60.45,60.9,17916255
25-10-2019 16:00,60.79,61.68,60.72,61.65,18369296
28-10-2019 16:00,61.86,62.31,61.68,62.26,24143241
29-10-2019 16:00,62.24,62.44,60.64,60.82,35709867
30-10-2019 16:00,61.19,61.33,60.3,60.82,31130522
31-10-2019 16:00,61.81,62.29,59.32,62.19,34790520
01-11-2019 16:00,62.39,63.98,62.29,63.96,37781334
04-11-2019 16:00,64.33,64.46,63.85,64.38,25817952
05-11-2019 16:00,64.26,64.55,64.08,64.28,19974427
06-11-2019 16:00,64.19,64.37,63.84,64.31,18966124
07-11-2019 16:00,64.69,65.09,64.53,64.86,23735083
08-11-2019 16:00,64.67,65.11,64.21,65.04,17520495
11-11-2019 16:00,64.58,65.62,64.57,65.55,20507459
12-11-2019 16:00,65.39,65.7,65.23,65.49,21847226
13-11-2019 16:00,65.28,66.19,65.27,66.12,25817593
14-11-2019 16:00,65.94,66.22,65.53,65.66,22395556
15-11-2019 16:00,65.92,66.44,65.75,66.44,25093666
18-11-2019 16:00,66.45,66.86,66.06,66.78,21700897
19-11-2019 16:00,66.97,67,66.35,66.57,19069597
20-11-2019 16:00,66.39,66.52,65.1,65.8,26609919
21-11-2019 16:00,65.92,66,65.3,65.5,30348778
22-11-2019 16:00,65.65,65.8,65.21,65.44,16331263
25-11-2019 16:00,65.68,66.61,65.63,66.59,21029517
26-11-2019 16:00,66.74,66.79,65.63,66.07,26334882
27-11-2019 16:00,66.4,67,66.33,66.96,16386122
29-11-2019 13:00,66.65,67,66.47,66.81,11654363
02-12-2019 16:00,66.82,67.06,65.86,66.04,23693550
03-12-2019 16:00,64.58,64.88,64.07,64.86,29377268
04-12-2019 16:00,65.27,65.83,65.17,65.44,16810388
05-12-2019 16:00,65.95,66.47,65.68,66.4,18661343
06-12-2019 16:00,66.87,67.75,66.83,67.68,26547493
09-12-2019 16:00,67.5,67.7,66.23,66.73,32182645
10-12-2019 16:00,67.15,67.52,66.47,67.12,22632383
11-12-2019 16:00,67.2,67.78,67.13,67.69,19723391
12-12-2019 16:00,66.94,68.14,66.83,67.86,34437042
13-12-2019 16:00,67.86,68.83,67.73,68.79,33432806
16-12-2019 16:00,69.25,70.2,69.25,69.97,32081105
17-12-2019 16:00,69.89,70.44,69.7,70.1,28575798
18-12-2019 16:00,69.95,70.47,69.78,69.94,29024687
19-12-2019 16:00,69.88,70.3,69.74,70.01,24626947
20-12-2019 16:00,70.56,70.66,69.64,69.86,69032743
23-12-2019 16:00,70.13,71.06,70.09,71,24677883
24-12-2019 13:00,71.17,71.22,70.73,71.07,12119714
26-12-2019 16:00,71.21,72.5,71.18,72.48,23334004
27-12-2019 16:00,72.78,73.49,72.03,72.45,36592936
30-12-2019 16:00,72.36,73.17,71.31,72.88,36059614
31-12-2019 16:00,72.48,73.42,72.38,73.41,25247625
02-01-2020 16:00,74.06,75.15,73.8,75.09,33911864
03-01-2020 16:00,74.29,75.15,74.13,74.36,36633878
06-01-2020 16:00,73.45,74.99,73.19,74.95,29644644
07-01-2020 16:00,74.96,75.22,74.37,74.6,27877655
08-01-2020 16:00,74.29,76.11,74.29,75.8,33090946
09-01-2020 16:00,76.81,77.61,76.55,77.41,42621542
10-01-2020 16:00,77.65,78.17,77.06,77.58,35217272
13-01-2020 16:00,77.91,79.27,77.79,79.24,30521722
14-01-2020 16:00,79.18,79.39,78.04,78.17,40653457
15-01-2020 16:00,77.96,78.88,77.39,77.83,30480882
16-01-2020 16:00,78.4,78.93,78.02,78.81,27207254
17-01-2020 16:00,79.07,79.69,78.75,79.68,34454117
21-01-2020 16:00,79.3,79.76,79,79.14,27710814
22-01-2020 16:00,79.65,80,79.33,79.43,25458115
23-01-2020 16:00,79.48,79.89,78.91,79.81,26117993
24-01-2020 16:00,80.06,80.83,79.38,79.58,36634380
27-01-2020 16:00,77.52,77.94,76.22,77.24,40485005
28-01-2020 16:00,78.15,79.6,78.05,79.42,40558486
29-01-2020 16:00,81.11,81.96,80.35,81.08,54149928
30-01-2020 16:00,80.14,81.02,79.69,80.97,31685808
31-01-2020 16:00,80.23,80.67,77.07,77.38,49897096
03-02-2020 16:00,76.08,78.37,75.56,77.17,43496401
04-02-2020 16:00,78.83,79.91,78.41,79.71,34154134
05-02-2020 16:00,80.88,81.19,79.74,80.36,29706718
06-02-2020 16:00,80.64,81.31,80.07,81.3,26356385
07-02-2020 16:00,80.59,80.85,79.5,80.01,29421012
10-02-2020 16:00,78.55,80.39,78.46,80.39,27337215
11-02-2020 16:00,80.9,80.97,79.68,79.9,23580780
12-02-2020 16:00,80.37,81.81,80.37,81.8,28432573
13-02-2020 16:00,81.05,81.56,80.84,81.22,23686892
14-02-2020 16:00,81.19,81.5,80.71,81.24,20028447
18-02-2020 16:00,78.84,79.94,78.65,79.75,38190545
19-02-2020 16:00,80,81.14,80,80.91,23495991
20-02-2020 16:00,80.66,81.16,79.55,80.08,25141489
21-02-2020 16:00,79.66,80.11,77.63,78.26,32426415
24-02-2020 16:00,74.32,76.05,72.31,74.55,55548828
25-02-2020 16:00,75.24,75.63,71.53,72.02,57668364
26-02-2020 16:00,71.63,74.47,71.63,73.16,49678431
27-02-2020 16:00,70.28,71.5,68.24,68.38,80151381
28-02-2020 16:00,64.32,69.6,64.09,68.34,106721230
02-03-2020 16:00,70.57,75.36,69.43,74.7,85349339
03-03-2020 16:00,75.92,76,71.45,72.33,79868852
04-03-2020 16:00,74.11,75.85,73.28,75.69,54794568
05-03-2020 16:00,73.88,74.89,72.85,73.23,46893219
06-03-2020 16:00,70.5,72.71,70.31,72.26,56544246
09-03-2020 16:00,65.94,69.52,65.75,66.54,71686208
10-03-2020 16:00,69.29,71.61,67.34,71.33,71322520
11-03-2020 16:00,69.35,70.31,67.97,68.86,64094970
12-03-2020 16:00,63.99,67.5,62,62.06,104618517
13-03-2020 16:00,66.22,69.98,63.24,69.49,92683032
16-03-2020 16:00,60.49,64.77,60,60.55,80605865
17-03-2020 16:00,61.88,64.4,59.6,63.22,81013965
18-03-2020 16:00,59.94,62.5,59.28,61.67,75058406
19-03-2020 16:00,61.85,63.21,60.65,61.2,67964255
20-03-2020 16:00,61.8,62.96,57,57.31,100423346
23-03-2020 16:00,57.02,57.12,53.15,56.09,84188208
24-03-2020 16:00,59.09,61.92,58.58,61.72,71882773
25-03-2020 16:00,62.69,64.56,61.08,61.38,75900510
26-03-2020 16:00,61.63,64.67,61.59,64.61,63140169
27-03-2020 16:00,63.19,63.97,61.76,61.94,51054153
30-03-2020 16:00,62.69,63.88,62.35,63.7,41994110
31-03-2020 16:00,63.9,65.62,63,63.57,49250501
01-04-2020 16:00,61.63,62.18,59.78,60.23,44054638
02-04-2020 16:00,60.09,61.29,59.23,61.23,41483493
03-04-2020 16:00,60.7,61.43,59.74,60.35,32470017
06-04-2020 16:00,62.73,65.78,62.35,65.62,50455071
07-04-2020 16:00,67.7,67.93,64.75,64.86,50721831
08-04-2020 16:00,65.69,66.84,65.31,66.52,42223821
09-04-2020 16:00,67.18,67.52,66.18,67,40529123
13-04-2020 16:00,67.08,68.43,66.46,68.31,32755731
14-04-2020 16:00,70,72.06,69.51,71.76,48748672
15-04-2020 16:00,70.6,71.58,70.16,71.11,32788641
16-04-2020 16:00,71.85,72.05,70.59,71.67,39281290
17-04-2020 16:00,71.17,71.74,69.22,70.7,53812478
20-04-2020 16:00,69.49,70.42,69.21,69.23,32503750
21-04-2020 16:00,69.07,69.31,66.36,67.09,45247893
22-04-2020 16:00,68.4,69.47,68.05,69.03,29264342
23-04-2020 16:00,68.97,70.44,68.72,68.76,31203582
24-04-2020 16:00,69.3,70.75,69.25,70.74,31627183
27-04-2020 16:00,70.45,71.14,69.99,70.79,29271893
28-04-2020 16:00,71.27,71.46,69.55,69.65,28001187
29-04-2020 16:00,71.18,72.42,70.97,71.93,34320204
30-04-2020 16:00,72.49,73.63,72.09,73.45,45765968
01-05-2020 16:00,71.56,74.75,71.46,72.27,60154175
04-05-2020 16:00,72.29,73.42,71.58,73.29,33391986
05-05-2020 16:00,73.77,75.25,73.61,74.39,36937795
06-05-2020 16:00,75.11,75.81,74.72,75.16,35583438
07-05-2020 16:00,75.81,76.29,75.49,75.94,28803764
08-05-2020 16:00,76.41,77.59,76.07,77.53,33511985
11-05-2020 16:00,77.03,79.26,76.81,78.75,36486561
12-05-2020 16:00,79.46,79.92,77.73,77.85,40575263
13-05-2020 16:00,78.04,78.99,75.8,76.91,50155639
14-05-2020 16:00,76.13,77.45,75.38,77.39,39732269
15-05-2020 16:00,75.09,76.97,75.05,76.93,41587094
18-05-2020 16:00,78.29,79.13,77.58,78.74,33843125
19-05-2020 16:00,78.76,79.63,78.25,78.29,25432385
20-05-2020 16:00,79.17,79.88,79.05,79.81,27876215
21-05-2020 16:00,79.67,80.22,78.97,79.21,25672211
22-05-2020 16:00,78.94,79.81,78.84,79.72,20450754
26-05-2020 16:00,80.88,81.06,79.13,79.18,31380454
27-05-2020 16:00,79.04,79.68,78.27,79.53,28236274
28-05-2020 16:00,79.19,80.86,78.91,79.56,33449103
29-05-2020 16:00,79.81,80.29,79.12,79.49,38399532
01-06-2020 16:00,79.44,80.59,79.3,80.46,20254653
02-06-2020 16:00,80.19,80.86,79.73,80.83,21910704
03-06-2020 16:00,81.17,81.55,80.58,81.28,26122804
04-06-2020 16:00,81.1,81.41,80.19,80.58,21890091
05-06-2020 16:00,80.84,82.94,80.81,82.88,34312550
08-06-2020 16:00,82.56,83.4,81.83,83.37,23913634
09-06-2020 16:00,83.04,86.4,83,86,36928091
10-06-2020 16:00,86.98,88.69,86.52,88.21,41662938
11-06-2020 16:00,87.33,87.77,83.87,83.98,50415613
12-06-2020 16:00,86.18,86.95,83.56,84.7,50036513
15-06-2020 16:00,83.31,86.42,83.15,85.75,34702230
16-06-2020 16:00,87.87,88.3,86.18,88.02,41357182
17-06-2020 16:00,88.79,88.85,87.77,87.9,28601626
18-06-2020 16:00,87.85,88.36,87.31,87.93,24205096
19-06-2020 16:00,88.66,89.14,86.29,87.43,66118952
22-06-2020 16:00,87.84,89.87,87.79,89.72,33861316
23-06-2020 16:00,91,93.1,90.57,91.63,53038869
24-06-2020 16:00,91.25,92.2,89.63,90.02,48155849
25-06-2020 16:00,90.18,91.25,89.39,91.21,34380628
26-06-2020 16:00,91.1,91.33,88.26,88.41,51314211
29-06-2020 16:00,88.31,90.54,87.82,90.45,32661519
30-06-2020 16:00,90.02,91.5,90,91.2,35055821
01-07-2020 16:00,91.28,91.84,90.98,91.03,27684309
02-07-2020 16:00,91.96,92.62,90.91,91.03,28510367
06-07-2020 16:00,92.5,93.95,92.47,93.46,29663913
07-07-2020 16:00,93.85,94.66,93.06,93.17,28106114
08-07-2020 16:00,94.18,95.38,94.09,95.34,29272970
09-07-2020 16:00,96.26,96.32,94.67,95.68,31410652
10-07-2020 16:00,95.34,95.98,94.71,95.92,22564330
13-07-2020 16:00,97.27,99.96,95.26,95.48,47912285
14-07-2020 16:00,94.84,97.26,93.88,97.06,42747341
15-07-2020 16:00,98.99,99.25,96.49,97.73,38299483
16-07-2020 16:00,96.56,97.41,95.91,96.52,27644418
17-07-2020 16:00,96.99,97.15,95.84,96.33,23046725
20-07-2020 16:00,96.42,98.5,96.06,98.36,22579477
21-07-2020 16:00,99.17,99.25,96.74,97,25911459
22-07-2020 16:00,96.69,97.98,96.6,97.27,22250413
23-07-2020 16:00,97,97.08,92.01,92.85,49251108
24-07-2020 16:00,90.99,92.97,89.15,92.62,46359716
27-07-2020 16:00,93.71,94.91,93.48,94.81,30303548
28-07-2020 16:00,94.37,94.55,93.25,93.25,25906375
29-07-2020 16:00,93.75,95.23,93.71,95.04,22582314
30-07-2020 16:00,94.19,96.3,93.77,96.19,39532505
31-07-2020 16:00,102.88,106.42,100.83,106.26,93573867
03-08-2020 16:00,108.2,111.64,107.89,108.94,77037847
04-08-2020 16:00,109.13,110.79,108.39,109.67,43198092
05-08-2020 16:00,109.38,110.39,108.9,110.06,30497988
06-08-2020 16:00,110.41,114.41,109.8,113.9,50607225
07-08-2020 16:00,113.21,113.68,110.29,111.11,49511403
10-08-2020 16:00,112.6,113.78,110,112.73,53100856
11-08-2020 16:00,111.97,112.48,109.11,109.38,46975594
12-08-2020 16:00,110.5,113.28,110.3,113.01,41486205
13-08-2020 16:00,114.43,116.04,113.93,115.01,52520516
14-08-2020 16:00,114.83,115,113.05,114.91,41391302
17-08-2020 16:00,116.06,116.09,113.96,114.61,29890361
18-08-2020 16:00,114.35,116,114.01,115.56,26408385
19-08-2020 16:00,115.98,117.16,115.61,115.71,36384502
20-08-2020 16:00,115.75,118.39,115.73,118.28,31726797
21-08-2020 16:00,119.26,124.87,119.25,124.37,84513660
24-08-2020 16:00,128.7,128.79,123.94,125.86,86484442
25-08-2020 16:00,124.7,125.18,123.05,124.83,52873947
26-08-2020 16:00,126.18,126.99,125.08,126.52,40755567
27-08-2020 16:00,127.14,127.49,123.83,125.01,38888096
28-08-2020 16:00,126.01,126.44,124.58,124.81,46907479
31-08-2020 16:00,127.58,131,126,129.04,225702688
01-09-2020 16:00,132.76,134.8,130.53,134.18,152470142
02-09-2020 16:00,137.59,137.98,127,131.4,200118991
03-09-2020 16:00,126.91,128.84,120.5,120.88,257599640
04-09-2020 16:00,120.07,123.7,110.89,120.96,332607163
08-09-2020 16:00,113.95,118.99,112.68,112.82,231366563
09-09-2020 16:00,117.26,119.14,115.26,117.32,176940455
10-09-2020 16:00,120.36,120.5,112.5,113.49,182274391
11-09-2020 16:00,114.57,115.23,110,112,180860325
14-09-2020 16:00,114.72,115.93,112.8,115.36,140150087
15-09-2020 16:00,118.33,118.83,113.61,115.54,184642039
16-09-2020 16:00,115.23,116,112.04,112.13,155026675
17-09-2020 16:00,109.72,112.2,108.71,110.34,178010968
18-09-2020 16:00,110.4,110.88,106.09,106.84,287104882
21-09-2020 16:00,104.54,110.19,103.1,110.08,195713815
22-09-2020 16:00,112.68,112.86,109.16,111.81,183055373
23-09-2020 16:00,111.62,112.11,106.77,107.12,150718671
24-09-2020 16:00,105.17,110.25,105,108.22,167743349
25-09-2020 16:00,108.43,112.44,107.67,112.28,149981441
28-09-2020 16:00,115.01,115.32,112.78,114.96,137672403
29-09-2020 16:00,114.55,115.31,113.57,114.09,100060526
30-09-2020 16:00,113.79,117.26,113.62,115.81,142675184
01-10-2020 16:00,117.64,117.72,115.83,116.79,116120440
02-10-2020 16:00,112.89,115.37,112.22,113.02,144711986
05-10-2020 16:00,113.91,116.65,113.55,116.5,106243839
06-10-2020 16:00,115.7,116.12,112.25,113.16,161498212
07-10-2020 16:00,114.62,115.55,114.13,115.08,96848985
08-10-2020 16:00,116.25,116.4,114.59,114.97,83477153
09-10-2020 16:00,115.28,117,114.92,116.97,100506865
12-10-2020 16:00,120.06,125.18,119.28,124.4,240226769
13-10-2020 16:00,125.27,125.39,119.65,121.1,262330451
14-10-2020 16:00,121,123.03,119.62,121.19,151062308
15-10-2020 16:00,118.72,121.2,118.15,120.71,112559219
16-10-2020 16:00,121.28,121.55,118.81,119.02,115393808
19-10-2020 16:00,119.96,120.42,115.66,115.98,120639337
20-10-2020 16:00,116.2,118.98,115.63,117.51,124423728
21-10-2020 16:00,116.67,118.71,116.45,116.87,89945980
22-10-2020 16:00,117.45,118.04,114.59,115.75,101987954
23-10-2020 16:00,116.39,116.55,114.28,115.04,82572645
26-10-2020 16:00,114.01,116.55,112.88,115.05,111850657
27-10-2020 16:00,115.49,117.28,114.54,116.6,92276772
28-10-2020 16:00,115.05,115.43,111.1,111.2,143937823
29-10-2020 16:00,112.37,116.93,112.2,115.32,146129173
30-10-2020 16:00,111.06,111.99,107.72,108.86,190573476
02-11-2020 16:00,109.11,110.68,107.32,108.77,122866899
